PROPIETARIO,ESTABLECIMIENTO,GIRO,CALLE,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES 
GRUPO I), (PSICOTRÓPICOS GRUPOS  II, III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS, (I,II,III,V,T,S,A,H) METADONA, OXYCONTIN)"
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
BOJORQUEZ",FARMACIA,C 59-H No 540 X 104,BOJORQUEZ,97230,MERIDA,YUCATAN,FA0501733,10-abr-17,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
SUCURSAL PANABA",FARMACIA,C 20 No 101 X 21 Y 23,CENTRO,97610,PANABA,YUCATAN,FA0571734,26-abr-17,"GRUPO II, III, SUEROS DE ORIGEN ANIMAL, ANTOTOXINAS, 
HEMODERIVADOS"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","UNIDAD DE MEDICINA 
FAMILIAR No 19",FARMACIA,C 31 No 280 X 42 Y 44,LAZARO CARDENAS,97350,HUNUCMA,YUCATAN,FA0381735,17-may-17,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","FARMACIA EMERITA SUC 
PROGRESO",FARMACIA,"C 82 No 149-A LOCAL 5 X 31 
Y 33",CENTRO,97320,PROGRESO,YUCATAN,FA0591736,17-may-17,"GRUPO II, III, VACUNAS, HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIA BAZAR SUC 
CONKAL",FARMACIA,"C 20 No 102-B FRACCION 
UNO X 21 Y 23",CONKAL,97345,CONKAL,YUCATAN,FA0131738,30-may-17,"GRUPO II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 
CHOLUL",FARMACIA,"C 22 No 99-C X 21 Y 
ESQUINA",CHOLUL,97305,CHOLUL,YUCATAN,FA0501737,30-may-17,"GRUPO II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
"NUEVA WAL MART DE 
MEXICO S DE RL DE CV","FARMACIA BODEGA 
AURRERA CHUBURNA",FARMACIA,C 20 No 30 X 22 Y 37-D,"CHUBURNA DE 
HIDALGO",97300,MERIDA,YUCATAN,FA0501740,13-jun-17,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","FARMACIA EMERITA SUC 
MERIDA 2000",FARMACIA,C 128 No 275 X 65-F Y 67-G,"BOSQUES DEL 
PONIENTE",97246,MERIDA,YUCATAN,FA0501743,04-jul-17,"GRUPO II, III, VACUNAS, HEMODERIVADOS Y TOXOIDES"
"SERVICIOS 
FARMACEUTICOS 
ESPECIALIZADOS SA DE CV","SERVICIOS 
FARMACEUTICOS 
ESPECIALIZADOS SA DE CV",FARMACIA,"C 26 No 210 INTERIOR 16 X 
7 Y 15",ALTABRISA,97133,MERIDA,YUCATAN,FA0501742,04-jul-17,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS, 
TOXOIDES"
"TIENDAS CHEDRAUI SA DE 
CV","TIENDAS CHEDRAUI SA DE 
CV",FARMACIA,C 37 No 215-A X 22,MONTERREAL,97133,MERIDA,YUCATAN,FA0501744,11-jul-17,"GRUPO II, III Y HEMODERIVADOS"
FARMACON SA DE CV,"FARMACIA YZA MERIDA LOS 
HEROES",FARMACIA,"C 135 SECCION 36 MZA 136 
No 669 X 148","LOS HEROES, 
CHICHI SUAREZ",97306,MERIDA,YUCATAN,FA0501745,13-jul-17,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"HOSPITAL  GENERAL DE 
TEKAX, YUCATAN","HOSPITAL GENERAL DE 
TEKAX YUCATAN",FARMACIA,C 57 NO 174,"TEKAX DE ALVARO 
OBREGON",97970,TEKAX,YUCATAN,FA0791746,13-sep-17,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIA BAZAR SUC LA 
CEIBA IMSS",FARMACIA,C 7 No 286-A X 44 Y 46,GARCIA GINERES,97070,MERIDA,YUCATAN,FA0501747,14-sep-17,"GRUPO II, III"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","UNIDAD DE MEDICINA 
FAMILIAR No 31",FARMACIA,C 24 No 313 X 35 Y 37,SAN MARCOS,97540,IZAMAL,YUCATAN,FA0401750,22-sep-17,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 
CHEN BECH",FARMACIA,"C 57 No 422 LETRA L LOCAL 
5 X 42 ESQUINA",CENTRO,97000,MERIDA,YUCATAN,FA0501749,22-sep-17,GRUPO II Y III
"MEDICAM,ENTOS 
POPULARES DEL BAZAR 
SUC CORDEMEX","FARMACIAS BAZAR SUC 
CORDEMEX",FARMACIA,"C 61 No 299 LOCALES C Y D 
X 48 Y 50","REVOLUCION 
CORDEMEX",97110,MERIDA,YUCATAN,FA0501748,22-sep-17,GRUPO II Y III
FARMACON SA DE CV,"FARMACIA YZA 
DZIDZANTUN",FARMACIA,C 21 No 88 X 18 Y 20,,97500,DZIDZANTUN,YUCATAN,FA0271751,22-sep-17,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA CHICHIMILA,FARMACIA,C 20 No 107 LOCAL 1 X 21,CENTRO,97760,CHICHIMILA,YUCATAN,FA0211753,03-oct-17,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","FARMACIA EMERITA SUC 
CAUCEL SANTA FE",FARMACIA,"AVENIDA 54 No 599 
INTERIOR TRES BIS X 21-D",GRAN SANTA FE,97314,MERIDA,YUCATAN,FA0501752,03-oct-17,"GRUPO II, III, VACUNAS, HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
SUCURSAL SANTA ISABEL",FARMACIA,"C 58 No 612 X 61 DIAGONAL 
Y 77","REPARTO GRANJAS 
AMPLIACION 
KANASIN",97370,MERIDA,YUCATAN,FA0411754,19-oct-17,GRUPO II Y III
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
SUCURSAL XCALACHEN",FARMACIA,"C 95 No 501-B BIS X 64 Y 
ESQUINA",MERIDA,97000,MERIDA,YUCATAN,FA0501755,19-oct-17,GRUPO II Y III
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 
VALLADOLID 3",FARMACIA,"C 43 No 204 FRACCION UNO 
X 40 Y 42",CENTRO,97780,VALLADOLID,YUCATAN,FA1021756,13-nov-17,"GRUPO II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 
MUNA",FARMACIA,C 26 No 181-A X 21 Y 23,CENTRO,97840,MUNA,YUCATAN,FA0531757,13-nov-17,GRUPO II Y III
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 
TICUL 2",FARMACIA,C 23 No 217-C X 28 Y 28-A,CENTRO,97860,TICUL,YUCATAN,FA0891758,22-nov-17,GRUPO II Y III
NICE SILHOUETTE SA DE CV,NICE SILHOUETTE SA DE CV,FARMACIA,"C 33 DIAGONAL No 214 
INTERIOR 13 X 24 Y 16-B","POLIGONO ITZIMNA 
108",,MERIDA,YUCATAN,FA0501761,23-ene-18,GRUPO II Y III
"SECRETARIA DE LA 
DEFENSA NACIONAL","HOSPITAL MILITAR 
REGIONAL DE 
ESPECIALIDADES",FARMACIA,C 61-A No 496 Y 498 X 90,CENTRO,97000,MERIDA,YUCATAN,FA0501759,23-ene-18,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
CELIA ARMENDARIZ CARLOS,DISTRIBUIDORA BELAR,DROGUERIA,"C 41-A No 492 INTERIOR A X 
32 Y 34",INDUSTRIAL,97150,MERIDA,YUCATAN,DG0501762,21-feb-18,DROGUERIA
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL CHUBURNA",FARMACIA,C 21 No 99-B X 18 Y 20,"CHUBURNA DE 
HIDALGO",97205,MERIDA,YUCATAN,FA0501764,27-feb-18,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 
CARRETERA MOTUL",FARMACIA,"KM 0.7 CARRETERA MERIDA-
MOTUL, LOCAL 4 CHOLUL",CHOLUL,97305,MERIDA,YUCATAN,FA0501765,27-feb-18,"GRUPO II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL PASEO  CANEK",FARMACIA,"C 124-C No 253 LOCAL 1 
AVENIDA JACINTO CANEK 
(59-A) Y 29",JACINTO CANEK,97227,MERIDA,YUCATAN,FA0501766,06-mar-18,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"TIENDAS SORIANA SA DE 
CV/ SUC UMAN","TIENDAS SORIANA SA DE 
CV",FARMACIA,C 21 No 109 X 20 Y 22,CENTRO,97390,UMAN,YUCATAN,FA1011767,16-mar-18,GRUPO II Y III
FARMACON SA DE  CV,"FARMACIA YZA MERIDA 
ALTABRISA II",FARMACIA,"C 26 No 210, 212, 214 LOCAL 
1 X7 Y 15",ALTABRISA,97130,MERIDA,YUCATAN,FA0501768,04-abr-18,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 
ESPITA",FARMACIA,C 27 No 208-A X 24-A Y 26,CENTRO,97730,ESPITA,YUCATAN,FA0321769,24-abr-18,GRUPO II Y III
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 
CINCO COLONIAS",FARMACIA,"C 119 No 402 LOC 1 Y 2 X 50 
ESQUINA",CINCO COLONIAS,97280,MERIDA,YUCATAN,FA0501770,25-may-18,GRUPO II Y III
"DROGUERIA Y FARMACIA EL 
GLOBO SA DE CV","DROGUERIA Y FARMACIA 
EL GLOBO SA DE CV",FARMACIA,C 11 No 74 X 4 Y 6,"FELIPE CARRILLO 
PUERTO NORTE",97136,MERIDA,YUCATAN,FA0501771,05-jun-18,GRUPO II Y III
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
TEMOZON NORTE",FARMACIA,"TABLAJE 21832 SEC 34 MZA 
80",TEMOZON NORTE,97302,MERIDA,YUCATAN,FA0501772,19-jun-18,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR 
SUC CRUZ ROJA ORIENTE","FARMACIAS BAZAR SUC 
CRUZ ROJA ORIENTE",FARMACIA,"C 65 (AV QUETZALCOATL) 
No 779 LOCAL 1, 2 Y 3 X 4-A 
Y 6",EMILIO PORTES GIL,97167,MERIDA,YUCATAN,FA0501773,19-jul-18,GRUPO II Y III
"INSTITUTO DE SEGURIDAD Y 
SERVICIOS SOCIALES DE 
LOS TRABAJADORES DEL 
ESTADO",CLINICA HOSPITAL MERIDA,FARMACIA,"C 21 TABLAJE CATASTRAL 
40638","COMISARIA DE 
SUSULA",97314,MERIDA,YUCATAN,FA0501774,22-ago-18,"GRUPO I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL, HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
SUCURSAL STAR PLAZA II",FARMACIA,C 26 No 206 LOC 1 X 7 Y 15,ALTABRISA,97133,MERIDA,YUCATAN,FA0501775,23-ago-18,GRUPO II Y III
DOMUS MEDICA SA DE CV,"BOTICA 
INTRAHOSPITALARIA 
CENTRO MEDICO 
FRANCISCO DE MONTEJO",FARMACIA,C 50 No 330 X 53 B,"FRANCISCO DE 
MONTEJO",97203,MERIDA,YUCATAN,FA0501776,31-ago-18,GRUPO I Y II
FARMACON SA DE CV,FARMACIA YZA OXKUTZCAB IV,FARMACIA,"C 51 MZA 19 SECC CATASTRAL 3 
No 106-F X 52 Y 54",CENTRO,97880,OXKUTZCAB,YUCATAN,FA0561779,01-nov-18,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
FRANCISCO DE MONTEJO IV",FARMACIA,"C 50 MZA 524 No 366 LOCALES 2 Y 
3 X 53 B Y 53 F","FRANCISCO DE 
MONTEJO III",97203,MERIDA,YUCATAN,FA0501780,14-nov-18,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, HEMODERIVADOS 
Y TOXOIDES"
EDITH RAQUEL AGUILAR Y PALMA,FARMACIA DERMCARE,FARMACIA,"AV 15 No 501 INTERIOR 913 X 18 Y 
20",ALTABRISA,97130,MERIDA,YUCATAN,FA0501781,22-nov-18,"GRUPO II, III"
FARMACON SA DE CV,"FARMACIA YZA MERIDA SAN 
REMO",FARMACIA,C 20 No 251 X 15 Y 19,ALTABRISA,97130,MERIDA,YUCATAN,FA0501782,30-nov-18,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, HEMODERIVADOS 
Y TOXOIDES"
"IMPULSORA FARMACEUTICA DEL 
BAZAR SA DE CV","FARMACIAS BAZAR SUC LAS 
VILLAS",FARMACIA,"C 30 DIAGONAL No 492 LOCAL 1 X 
49 Y ESQUINA",MEXICO,97125,MERIDA,YUCATAN,FA0501783,30-nov-18,"GRUPO II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL Y HEMODERIVADOS"
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
GIRASOLES DE OPICHEN",FARMACIA,"C 81 DIAGONAL SEC 19 MZA 411 
No 1200 X 138-B Y 140",GIRASOLES DE OPICHEN,97249,MERIDA,YUCATAN,FA0501784,31-dic-18,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, HEMODERIVADOS 
Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA MERIDA VISTA 
ALEGRE NORTE",FARMACIA,C 7 No 379 X 16 Y 18,VISTA ALEGRE NORTE,97130,MERIDA,YUCATAN,FA0501785,17-ene-19,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, HEMODERIVADOS 
Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS SAPI 
DE CV","FARMACIAS DEL AHORRO 
SUCURSAL CIRCUITO COLONIAS",FARMACIA,C 31 No 84-C X 12 Y 66,MEXICO,97125,MERIDA,YUCATAN,FA0501786,18-ene-19,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS Y TOXOIDES"
EVELIN MONTES LOBATO,FARMACIA DINAMIC HEALTH,FARMACIA,C 108 No 129-E X 45-L Y 47-B,LAS AMERICAS II,97302,MERIDA,YUCATAN,FA0501790,07-mar-19,GRUPO II Y III
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS SAPI 
DE CV","FARMACIAS DEL AHORRO 
SUCURSAL SAN BENITO",FARMACIA,C 65 No 84-C X 54 Y 54-A,CENTRO,97000,MERIDA,YUCATAN,FA0501792,14-mar-19,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS Y TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS SAPI 
DE CV","FARMACIAS DEL AHORRO 
SUCURSAL LAS AMERICAS",FARMACIA,C 61 No 400 X AV 4,LAS AMERICAS,97302,MERIDA,YUCATAN,FA0501791,14-mar-19,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
SUCURSAL MOTUL II",FARMACIA,"C 28 No 306 LOCAL 1 X 29 Y 
31",CENTRO,97430,MOTUL,YUCATAN,FA0521793,25-abr-19,GRUPO II Y III
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR SUC 
STAR PLAZA I",FARMACIA,"C 26 NO 216 LOCAL 6-B X 7 
Y 15",ALTABRISA,97133,MERIDA,YUCATAN,FA0501794,15-may-19,GRUPO II Y III
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
FRANCISCO DE MONTEJO 
LA CAPILLA",FARMACIA,"C 51 SEC 25 MZA 486 No 335 
X 54 Y 56","FRANCISCO DE 
MONTEJO",97203,MERIDA,YUCATAN,FA0501797,31-may-19,"GRUPO II, II, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
SUCURSAL AVENIDA 
CORREA RACHO",FARMACIA,C 20 No 301 LOCAL 1 X 17,"JARDINES DE VISTA 
ALEGRE",97138,MERIDA,YUCATAN,FA0501798,20-jun-19,GRUPO II Y III
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
GRAN SANTA FE GLORIETA",FARMACIA,AVENIDA 21-A No 564 X 68-B,"GRAN SANTA FE 
CAUCEL",97314,MERIDA,YUCATAN,FA0501799,29-jul-19,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA MERIDA 
GRAN SANTA FE NORTE",FARMACIA,"C 13 SEC 41 MZA 1092 No 
661 X 72-A Y 72-B","GRAN SANTA FE, 
CAUCEL",97314,MERIDA,YUCATAN,FA0501800,29-jul-19,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA KANTUNIL,FARMACIA,C 20 No 200 X 19 Y 21,CENTRO,97670,KANTUNIL,YUCATAN,FA0421801,31-jul-19,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
SUCURSAL CUMBRES",FARMACIA,C 18 No 131 X 7 Y 15,MONTECRISTO,97133,MERIDA,YUCATAN,FA0501803,22-ago-19,GRUPO II Y III
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR 
SUCURSAL CAUCEL AV 62",FARMACIA,"C 62 No 655 LOCAL 1 X 37 Y 
39 a",CIUDAD CAUCEL,97314,MERIDA,YUCATAN,FA0501804,27-ago-19,GRUPO II Y III
"MEDICAMENTOS POPULARES DEL 
BAZAR SA DE CV","FARMACIAS BAZAR SUCURSAL 
AMERICAS ETAPA 1",FARMACIA,C 74 No 442 X 65 Y 67a,LAS AMERICAS,97302,MERIDA,YUCATAN,FA0501805,30-ago-19,GRUPO II Y III
