ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA 
,DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"ALMACEN DE DISTRIBUCION ESTATAL 
DE MEDICAMENTOS Y PRODUCTOS 
BIOLOGICOS ISSTECH","COMERCIO AL POR 
MAYOR DE 
PRODUCTOS 
QUIMICOS 
FARMACEUTICOS 
DE TOCADOR Y 
PRODUCTOS 
VETERINARIOS CON 
VENTA DE 
ESTUPEFACIENTES, 
PSICOTROPICOS","LIB. NORTE ORIENTE S/N, ESQ. BLVD. 
FIDEL VELAZQUEZ,",INFONAVIT GRIJALVA,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101080009,21/07/2008,
"ABASTECEDORA MEDICA 
CHIAPANECA","COMERCIO AL POR 
MAYOR DE 
PRODUCTOS 
QUIMICOS 
FARMACEUTICOS 
DE TOCADOR Y 
PRODUCTOS 
VETERINARIOS CON 
VENTA DE 
ESTUPEFACIENTES, 
PSICOTROPICOS","AV. LAUREL No.338,",FRACC. EL VERGEL,29040,"TUXTLA 
GUTIERREZ",CHIAPAS,07101080010,16/10/2008,
"DISTRIBUIDORA PM DE OCCIDENTE 
S.A. DE C.V.","ALMACEN DE 
DEPOSITO Y 
DISTRIBUCION DE 
MEDICAMENTOS Y 
PRODUCTOS 
BIOLOGICOS PARA 
USO HUMANO","15a. PONIENTE NORTE No.561,",RESIDENCIAL BONAMPAK,29080,"TUXTLA 
GUTIERREZ",CHIAPAS,07101080011,02/06/2010,
"FARMACIA BODEGA AURRERA 
TUXTLA - CENTRO",FARMACIA,"AV. CENTRAL PONIENTE No.677, 
CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090001,16/10/2001,"II, III"
"FARMACIA DEL AHORRO SUCURSAL 
5a. NORTE ORIENTE",FARMACIA,"PROLONGACION DE LA 5a. NORTE 
ORIENTE No.1777, CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090002,21/01/2002,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
5a. NORTE PONIENTE",FARMACIA,"5a. NORTE Y 10a. PONIENTE 
No.1062, CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090003,21/01/2002,"II, III"
"FARMACIAS DEL AHORRO SUCURSAL 
PENSIL",FARMACIA,"CALLE DEL PENSIL No.325,",PENCIL,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090004,23/01/2002,"II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. GUADALUPE",FARMACIA,"AV. CENTRAL PONIENTE No.835, 
CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090005,23/01/2002,"II, III"
FARMACIAS ESQUIVAR S.A. DE C.V.,FARMACIA,9a. NORTE ORIENTE No.107,,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090006,23/01/2002,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"UNIDAD DE ATENCION A LA SALUD 
SAN AGUSTIN",FARMACIA,"KM. 8.5 CARRETERA TUXTLA-
VILLAFLORES, EL JOBO",EL JOBO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090007,13/06/2007,"I, II, III, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAM'S CLUB,FARMACIA,"BELISARIO DOMINGUEZ No.1550,",JARDINES DE TUXTLA,29020,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090008,30/12/2002,"II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA LATINO,FARMACIA,"6a. AV. SUR PONIENTE No.881, 
CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090009,30/12/2002,"I, II, III"
FARMACIA LA BASILICA,FARMACIA,"1a. AV. NORTE PONIENTE No.753, 
CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090010,30/12/2002,"II, III"
"FARMACIA DEL AHORRO SUCURSAL 
9a. SUR",FARMACIA,"9a. SUR ESQ. 2a. PONIENTE No.1005, 
CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090011,30/12/2002,"II, III"
"FARMACIA DEL AHORRO SUCURSAL 
2000",FARMACIA,"9a. SUR ORIENTE No.1992,",CAMINERA,29090,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090013,14/05/2004,"II, III"
"FARMACIA DEL AHORRO SUCURSAL 
CENTRAL ORIENTE",FARMACIA,"AV. CENTRAL ORIENTE No.470-A, 
CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090014,30/12/2002,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
HOSPITAL",FARMACIA,"1a. ORIENTE SUR No.978 ESQ. 9a. 
SUR",,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090015,31/12/2002,"II, III"
"FARMACIA DEL AHORRO SUCURSAL 
CENTRAL PONIENTE",FARMACIA,"AV. CENTRAL PONIENTE ESQ. CON 
8a. PONIENTE No.874",,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090017,03/01/2003,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 5 
DE MAYO",FARMACIA,"11a. ORIENTE  ESQ. 3a. NORTE No.6,",5 DE MAYO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090019,03/01/2003,"II, III"
DROGUERIA SANTA CRUZ,FARMACIA,"AV. CENTRAL PONIENTE No.191, 
CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090021,18/03/2002,"I, II, III"
"FARMACIA DEL HOSPITAL GENERAL 
REGIONAL DR. RAFAEL PASCACIO 
GAMBOA",FARMACIA,"9a. SUR Y CALLE CENTRAL S/N, 
CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090022,18/03/2002,II
"FARMACIA INTRAHOSPITALARIA DE 
LA UNIDAD DE MEDICINA FAMILIAR 
No.13",FARMACIA,"BLVD. ARTICULO 115 ESQ. PRESA 
CHICOASEN,",FRACC. LAS PALMAS,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090023,27/03/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA H,FARMACIA,"AV. CENTRAL PONIENTE No.1051, 
CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090025,03/04/2002,"I, II, III"
FARMACIAS ESQUIVAR S.A. DE C.V.,FARMACIA,"AV. CENTRAL Y 3a. ORIENTE No.369, 
CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090026,05/04/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
ZOCALO",FARMACIA,"AV. CENTRAL PONIENTE No.111, 
CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090027,05/04/2002,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
GRIJALVA",FARMACIA,"CALLE BOULEVARD ARTICULO 115 
ESQ. CON 20 ORIENTE NORTE",,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090028,18/03/2004,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
9a. NORTE",FARMACIA,"9a. NORTE ORIENTE No.190, CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090029,05/04/2002,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA BODEGA AURRERA ESTE 
DET. 3904",FARMACIA,"BLVD. ANGEL ALBINO CORZO 
No.1280, FRACC. LA SALLE",FRACC. LA SALLE,2900,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090031,01/12/2008,"II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL CHAPULTEPEC",FARMACIA,"CARRETERA A CHICOASEN KM.1.5 
No.1040-B",COL. CHAPULTEPEC,29070,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090033,24/06/2013,"II, III"
"FARMACIA DEL AHORRO SUCURSAL 
MATRIZ",FARMACIA,"3a. SUR ESQ. 2a. ORIENTE No.304, 
CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090034,23/07/2003,"II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. LIB. SUR",FARMACIA,"LIBRAMIENTO SUR PONIENTE 
No.1331 Y 1341,",DR. ROMEO RINCON,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090034,11/09/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA DEL HOSPITAL ROJAS,FARMACIA,"AVENIDA 2a. SUR PONIENTE 
No.1487",COL. LA LOMITA,29060,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090035,26/05/2016,"I, II, III Y VACUNAS"
"FARMACIA DEL AHORRO SUCURSAL 
TERAN",FARMACIA,"2a. ORIENTE SUR No.13 ESQ. CON 
CALLE CENTRAL,",TERAN,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090037,23/07/2003,"II, III"
"FARMACIA DEL AHORRO SUCURSAL 
SUBALSA",FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
No.305",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090038,26/04/2011,"I, II, III"
"FARMACIA DEL AHORRO SUCURSAL 
15 ORIENTE",FARMACIA,"AV. CENTRAL ORIENTE ESQ. 15 
ORIENTE No.1601",,29040,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090039,23/07/2003,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
RETIRO",FARMACIA,"BLVD. ANGEL ALBINO CORZO S/N,",EL RETIRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090040,23/07/2003,"I, II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL MERCADO I",FARMACIA,"4a. SUR ORIENTE No.102, CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090041,23/07/2003,"I, II, III"
"FARMACIA DEL AHORRO SUCURSAL 
1a. ORIENTE",FARMACIA,"5a. SUR ORIENTE ESQ. 1a. ORIENTE 
No.155, CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090043,23/07/2003,"I, II, III"
"FARMACIA DEL AHORRO SUCURSAL 
5a. SUR",FARMACIA,"CALLE CENTRAL ESQ. CON 5a. SUR 
No.595, CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090044,23/07/2003,"II, III"
"FARMACIA DEL AHORRO SUCURSAL 
LAGUITOS",FARMACIA,"CARRETERA A CHICOASEN No.476-A, 
LAGUITOS",,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090045,23/07/2003,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL GENERAL 
DE LA ZONA No. II",FARMACIA,"CALZADA EMILIO RABASA S/N, 
CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090046,12/03/2003,"I, II, III"
"FARMACIA DEL AHORRO SUCURSAL 
4a. SUR",FARMACIA,1a. CALLE ORIENTE SUR No.519,,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090047,23/07/2003,"II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL 5 DE MAYO",FARMACIA,"2a. SUR ESQ. 11a. ORIENTE S/N, 
CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090048,23/07/2003,"I, II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. HOSPITAL",FARMACIA,"9a. SUR PONIENTE No.128, CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090049,23/07/2003,"II, III"
"FARMACIA ALOPATICA ESQUIVAR 
SUCURSAL CARRETERA AL SUMIDERO",FARMACIA,CARRETERA AL SUMIDERO No.1720,CENTRO,29010,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090050,29/11/2007,"I, II, III"
"FARMACIA ESQUIVAR S.A. DE C.V. 
SUC. CRUZ ROJA",FARMACIA,"5a. AV. NORTE PONIENTE No.1475 
CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090051,23/07/2003,"II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL MERCADO II",FARMACIA,"1a. PONIENTE SUR No.687, CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090052,23/07/2003,"II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. MATRIZ",FARMACIA,"1a. SUR PONIENTE No.728, CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090053,23/07/2003,"II, III"
FARMACIA ALOPATICA KRYSTAL,FARMACIA,"2a. NORTE PONIENTE No.672-A, 
CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090062,23/07/2003,"I, II, III"
"FARMACIA DE LA CLINICA DE 
MEDICINA FAMILIAR TUXTLA 
GUTIERREZ",FARMACIA,"7a. AV. SUR PONIENTE No.1515-B,",XAMAIPAK,29060,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090063,23/07/2003,"I, II Y III"
"FARMACIA DE LA CLINICA DE 
CONSULTA EXTERNA BASE CONDOR",FARMACIA,"2a. ORIENTE SUR No.706, CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090064,23/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA LATINO,FARMACIA,"6a. SUR PONIENTE No.881-B, 
CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090065,23/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
10a. PONIENTE",FARMACIA,"10a. PONIENTE SUR No.1478, SAN 
FRANCISCO",SAN FRANCISCO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090066,23/07/2003,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DISTRIBUIDORA PM. DE 
OCCIDENTE S.A. DE C.V.",FARMACIA,"1a. SUR PONIENTE No.1203 ESQ. 
PONIENTE SUR, CENTRO",COL. CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090067,24/04/2012,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
JUAN CRISPIN",FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
No.4588,",JUAN CRISPIN,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090068,23/07/2003,"I, II, III"
"COMERCIALIZADORA FARMACEUTICA 
DEL SOCONUSCO S.A. DE C.V.",FARMACIA,"11a. ORIENTE NORTE No.565-A, 
CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090069,24/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA DE ALTA ESPECIALIDAD,FARMACIA,"5a. PONIENTE SUR No.229, CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090070,25/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA DR. 
BELISARIO DOMINGUEZ",FARMACIA,"14a. PONIENTE Y LIBRAMIENTO SUR 
S/N",COL. XAMAIPAK,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090071,28/10/2015,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.23",FARMACIA,"BLVD. SALOMON GONZALEZ BLANCO 
No.2560,",INFONAVIT CANTERAS,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090072,13/08/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
TIENDAS CHEDRAUI S.A. DE C.V.,FARMACIA,BLVD. ANGEL ALBINO CORZO No.741,COL. REAL DEL BOSQUE,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090074,23/10/2015,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
TIENDAS CHEDRAUI S.A. DE C.V.,FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
No.1691,",TERAN,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090075,14/10/2003,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA SABORNS TUXTLA 
GUTIERREZ GALERIAS BLVD.",FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
No.1861 L-ANCLA 1 PLANTA BAJA,",FRACC. BUGAMBILIAS,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090077,21/01/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
I.S.S.S.T.E. TIENDA No.33,FARMACIA,"14a. PONIENTE Y PERIFERICO SUR 
S/N,",ISSSTE,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090078,21/01/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA FARMACOS 
ESPECIALIZADOS S.A. DE C.V.",FARMACIA,"2a. ORIENTE NORTE No.144, CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090079,05/03/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA,FARMACIA,"CALLE CENTRAL NORTE No.910, 
PLANTA BAJA INT. 2, CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090080,18/03/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA SORIANA S.A. DE C.V.,FARMACIA,"BLVD. ANDRES SERRA ROJAS No.250, 
EL RETIRO",EL RETIRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090081,23/03/2004,"II, III"
"FARMACIA DEL CENTRO DE SALUD 
URBANO TUXTLA",FARMACIA,2a. CALLE ORIENTE SUR No.1092,,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090082,29/03/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA EL AGUILA,FARMACIA,"6a. PONIENTE SUR No.1125, CENTRO",CENTRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090083,13/05/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"TIENDAS SORIANA S.A. DE C.V. 
FARMACIA CITY CLUB",FARMACIA,"BLVD. ANDRES SERRA ROJAS No.250-
A, EL RETIRO",EL RETIRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090085,07/06/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL MILITAR",FARMACIA,"CARRETERA PANAMERICANA 
KM.1089-A,",EL RETIRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090086,29/06/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE ALDEAS INFANTILES 
SOS",FARMACIA,"LIBRAMIENTO NORTE ORIENTE 
No.3421,",PASO LIMON,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090089,22/09/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA MONTE SINAI,FARMACIA,"18a. PONIENTE SUR No.1 ESQ. 
NINGUIJUTI,",FRACC. ZOQUE,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090090,22/09/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
CRISTAL",FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
No.1849",,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090091,28/09/2004,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DERMATOLOGICA DEL 
SURESTE",FARMACIA,AV. CENTRAL PONIENTE No.1036-1,,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090092,29/09/2004,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS DEL AHORRO SUCURSAL 
2a. SUR",FARMACIA,"1a. PONIENTE SUR No.302, CENTRO",CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090094,12/11/2004,"II, III"
"COMERCIALIZADORA FARMACEUTICA 
DEL SOCONUSCO S.A. DE C.V.",FARMACIA,"11a. ORIENTE NORTE No.565-A,",HIDALGO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090096,15/11/2004,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIAS DEL AHORRO SUMIDERO,FARMACIA,"CALZADA AL SUMIDERO MANZANA 5 
LOTE No.925,",ALBANIA BAJA,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090097,28/01/2005,"II, III"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. TERAN",FARMACIA,"2a. ORIENTE NORTE No.221,",COL. TERAN,29050,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090099,12/04/2005,"II, III"
FARMACIA TEO TUXTLA GUTIERREZ,FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
No.1934, LOCAL 11, XAMAIPAK",VV,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090100,12/10/2005,"I, II, III"
"FARMACIA DEL SANATORIO PAREDES 
ZENTENO",FARMACIA,AV. CENTRAL PONIENTE No.1033,,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090106,20/06/2006,"I, II, III"
"TIENDAS SORIANA S.A. DE C.V. 
(FARMACIA SORIANA)",FARMACIA,5a. NORTE PONIENTE No.2650,,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090107,16/10/2006,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"TIENDAS SORIANA S.A. DE C.V. 
FARMACIA SORIANA",FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
No.305,",XAMAIPAK,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090108,19/10/2006,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA BODEGA AURRERA 
SUMIDERO MANGUITOS",FARMACIA,"CALZADA AL SUMIDERO No.2330 
MANZANA 75 LOTE 56 SECTOR 39,",LOS MANGUITOS,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090109,21/11/2006,"II, III, VACUNAS Y TOXOIDES"
"FARMACIA WAL MART BELISARIO 
DOMINGUEZ",FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
No.2058",FRACC. LAS ARBOLEDAS,29030,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090110,26/08/2008,"II, III, VACUNAS Y TOXOIDES"
"FARMACIA DE LA CRUZ ROJA 
MEXICANA I.A.P.",FARMACIA,5a. NORTE PONIENTE No.1480,,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090112,14/12/2006,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"CENTRO DE REHABILITACION E 
INCLUSION INFANTIL TELETON 
CHIAPAS",FARMACIA,CALZ. S.S. JUAN PABLO II No.444,COL. EL RETIRO,29040,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090113,09/06/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE ESPECIALIDADES 
TUXTLA",FARMACIA,4a. PONIENTE SUR No.381-A,COL. CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090114,21/06/2010,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CLINICA LARROSA FARMACIA,FARMACIA,"5a. ORIENTE SUR No.1832,",SAN FRANCISCO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090116,19/04/2007,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL DE 
ESPECIALIDADES VIDA MEJOR",FARMACIA,"BLVD. S.S. JUAN PABLO II S/N,",EL RETIRO,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090118,03/10/2007,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIAS ESQUIVAR S.A. DE C.V.,FARMACIA,"PALMAS No.407,",LAS PALMAS,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090120,11/01/2008,"II, III, VACUNAS Y TOXOIDES"
"FARMACIA UN MUINDO SIN 
ADICCIONES A.C.",FARMACIA,"MANZANA 130 LOTE 16 
PROLONGACION MORELOS No.259",,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090121,11/01/2008,"II, III, VACUNAS Y TOXOIDES"
"BODEGA AURRERA TERAN, CHIAPAS",FARMACIA,"BLVD. BELISARIO DOMINGUEZ 
No.4451,",LA GLORIA,,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090127,25/01/2008,"II, III, VACUNAS Y TOXOIDES"
