REYNA DE LA PAZ,FARMACIA,"PROLONGACION 9 SUR Nº 
11349-A",SAN BARTOLO COATEPEC,72490,Puebla,PUEBLA,1061141083,03/02/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA UNIVERSITARIA ALEXANDER FLEMING,FARMACIA,"BLVD. NORTE H. 5 DE MAYO 
Nº 2513",CLEOTILDE TORRES,72050,Puebla,PUEBLA,1061141084,19010424,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA HERNANDEZ,FARMACIA,GUERRERO Nº 11,CENTRO,73300,Chignahuapan,PUEBLA,1020531085,04/05/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,AV. XONACATEPEC Nº 1801,LAZARO CARDENAS,,Puebla,PUEBLA,1061141086,05/11/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA UNIVERSITARIA ALEXANDER FLEMING,FARMACIA,CALLE 105 PONIENTE Nº 712,POPULAR CASTILLOTLA,72470,Puebla,PUEBLA,1061141087,19010619,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE LA U.M.F. Nº 24,FARMACIA,"CARRET.INTERNACIONAL 
MEXICO-OAXACA KM.175 S/N",CENTRO,74400,Izucar de Matamoros,PUEBLA,1070871088,19001124,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD DE MEDICINA FAMILIAR # 3,FARMACIA,5 DE FEBRERO ORIENTE # 206,SAN FELIPE HUEYOTLI.,72030,Puebla,PUEBLA,1061141090,09/01/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE LA MISERICORDIA,FARMACIA,AV. GUERRERO Nº 203,CENTRO,75960,Zinacatepec,PUEBLA,1102141092,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE LA U.M.F. Nº 13,FARMACIA,11 SUR Nº 5525,MAYORAZGO,72430,Puebla,PUEBLA,1061141093,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BODEGA AURRERA TEHUACAN,FARMACIA,"AV. INDEPENDENCIA 
PONIENTE Nº 801",LA ARCADIA,75760,Tehuacan,PUEBLA,1101561094,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA RANGEL,FARMACIA,CALLE 4 PONIENTE Nº 40,CENTRO,75040,Guadalupe Victoria,PUEBLA,1040681095,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"MANMED, S.A. DE C.V.",FARMACIA,11 NORTE Nº 608,CENTRO,72000,Puebla,PUEBLA,1061141096,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE LA U.M.F. Nº 7,FARMACIA,"CIRCUITO SAN BARTOLO SUR 
PONIENTE S/N",U.HAB. SAN BARTOLO,72495,Puebla,PUEBLA,1061141097,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA EL PASTILLERO,FARMACIA,OCAMPO Nº 8,CENTRO,74400,Izucar de Matamoros,PUEBLA,1070871098,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA FARMAMUNDO,FARMACIA,AV. 5 DE MAYO Nº 7-B,CENTRO,74730,Chiautla,PUEBLA,1070481099,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER FARMACIA DE DESCUENTO OCOTLAN,FARMACIA,ESCALINATA A LA IGLESIA S/N,CENTRO,73470,Huehuetla,PUEBLA,1030731100,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BODEGA AURRERA,FARMACIA,BLVD. VALSEQUILLO Nº 7716,EX HDA.S.J.XILOTZING,72593,Puebla,PUEBLA,1061141102,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,JUAREZ PONIENTE Nº115,LIBERTAD,74000,San Martín Texmelucan,PUEBLA,1051331105,19010813,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN FRANCISCO DE ASIS,FARMACIA,4 ORIENTE Nº 9-B,,75460,Quecholac,PUEBLA,1091151106,07/02/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMAPRONTO,FARMACIA,CALLEJON IZQUIERDO Nº 4,CENTRO,75520,Chalchicomula de Sesma,PUEBLA,1040461107,19010827,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"MANMED, S.A. DE C.V.",FARMACIA,"PROLONGACION REFORMA 
Nº 4109-C",LA PAZ,72160,Puebla,PUEBLA,1061141109,08/02/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,5 NORTE Nº 1806,CENTRO,72000,Puebla,PUEBLA,1061141110,09/12/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,AV. 2 NORTE Nº 609,CENTRO,72000,Puebla,PUEBLA,1061141111,09/12/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MODERNA,FARMACIA,LUIS CABRERA Nº 27,CENTRO,73310,Zacatlan,PUEBLA,1022081112,06/06/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE DIOS,FARMACIA,CALLE ALLENDE Nº 102,CENTRO,73080,Xicotepec,PUEBLA,1011971113,19010525,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA EL PASTILLERO,FARMACIA,"PLAZA DE LA CONSTITUCION 
S/N",CENTRO,73080,Xicotepec,PUEBLA,1011971114,19010713,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA,FARMACIA,8 SUR Nº 103,SAN JOSE,75482,Tecamachalco,PUEBLA,1091541115,07/01/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
SOLEDAD,FARMACIA,11 PONIENTE Nº 302,ALVARO OBREGON,74260,Atlixco,PUEBLA,1050191117,19011029,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"16 DE SEPTIEMBRE SUR Nº 
202",CENTRO,74120,San Martín Texmelucan,PUEBLA,1051331118,19011030,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL MERCADO DE DESCUENTO,FARMACIA,BALDERAS Nº 107-A,CENTRO,,Zacatlán,PUEBLA,1022081120,11/09/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL MERCADO DE DESCUENTO,FARMACIA,2ª DE LEON Nº 5,,,Zacatlán,PUEBLA,1022081121,11/09/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMAPRONTO MATRIZ,FARMACIA,PORTAL MUJICA Nº 3,CENTRO,74940,Acatlán,PUEBLA,1080031122,11/05/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMAPRONTO SUCURSAL ""B""",FARMACIA,"CARRETERA INTERNACIONAL 
S/N",CENTRO,74940,Acatlán,PUEBLA,1080031123,11/05/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SUPERAMA LA NORIA,FARMACIA,"CIRCUITO INTERIOR JUAN 
PABLO II Nº 1751",LA NORIA,72410,Puebla,PUEBLA,1061141124,11/09/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA Y DROGUERIA,14 SUR Nº 3902-6,ANZURES,72530,Puebla,PUEBLA,1061141125,19011024,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE LA LUZ,FARMACIA,9 PONIENTE Y 2 SUR,CENTRO,74730,Chiautla de Tapia,PUEBLA,1031741227,19030218,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BODEGA AURRERA,FARMACIA,BLVD. XONACA Nº 2050,XONACA,,Puebla,PUEBLA,1061141128,11/01/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA CASTILLO,FARMACIA,"AV. CHALCHICOMULA Nº 
6574",GRANJAS DEL SUR,,Puebla,PUEBLA,1061141129,12/01/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,AV. 10 PONIENTE Nº 307,CENTRO HISTORICO,72000,Puebla,PUEBLA,1061141131,12/10/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA EL PASTILLERO,FARMACIA,"CARRETERA INTERNACIONAL 
S/N",,74800,Tehuitzingo,PUEBLA,1081571132,19011214,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA UNIDAD HOSP. LA PAZ,S.A.DE C.V.",FARMACIA,ACATLAN Nº 24,LA PAZ,72160,Puebla,PUEBLA,1061141133,09/01/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMAQUIMICOS LA PURISIMA, S.A. DE C.V.",FARMACIA,3 ORIENTE Nº 8-A,CENTRO,75480,Tecamachalco,PUEBLA,1091541135,12/07/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA HUMBOLDT,FARMACIA,14 ORIENTE Nº 2402,HUMBOLDT,72370,Puebla,PUEBLA,1061141136,19020220,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL SANATORIO DE JESUS,FARMACIA,4 NORTE Nº 2,CENTRO,75482,Tecamachalco,PUEBLA,1091541137,19011218,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMAPRONTO SUCURSAL ""A""",FARMACIA,2 ORIENTE Nº 209,CENTRO,75200,Tepeaca,PUEBLA,1091641138,11/05/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA,FARMACIA,3 ORIENTE Nº 308 L-4,CENTRO,75700,Izucar de Matamoros,PUEBLA,1070871141,19010924,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BET-EL,FARMACIA,"AV. 16 DE SEPTIEMBRE Nº 7-
D",,74730,Chiautla,PUEBLA,1070481142,12/04/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,AV. 19 SUR Nº 506,CENTRO,72000,Puebla,PUEBLA,1061161143,19020319,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA COMERCIAL MEXICANA, S.A.DE C.V.",FARMACIA,"BLVD. NORTE HEROES 5 DE 
MAYO Nº 2410",FRACC. LAS HADAS,72070,Puebla,PUEBLA,1061161144,19020221,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA LA NUEVA IMAGEN, S.A. DE C.V.",FARMACIA,"MORELOS SUR S/N LOCAL 7 Y 
8",CENTRO,75200,Tepeaca,PUEBLA,1091641145,19020218,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA LOS ANGELES,FARMACIA,CALLE LEONA VICARIO Nº 37,BARRIO EL CALVARIO,75440,San Salvador Huixcolotla,PUEBLA,1091451146,02/08/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA GUADALUPE,FARMACIA,16 DE SEPTIEMBRE Nº 11,SECCION SEGUNDA,74800,Tehuitzingo,PUEBLA,1081571147,02/08/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE LA CLINICA SAN MANUEL,FARMACIA,RIO BALSAS Nº 5109,SAN MANUEL,72570,Puebla,PUEBLA,1061141150,19020319,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA UNIVERSITARIA ALEXANDER FLEMING,FARMACIA,10 ORIENTE Nº 26-1,CENTRO,74200,Atlixco,PUEBLA,1050191151,04/08/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MARROQUIN,FARMACIA,JUAREZ Nº 37,CENTRO,75950,Altepexi,PUEBLA,1100131152,03/04/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE LA U.M.F. Nº 8,FARMACIA,AV. DEL TRABAJO Nº 57,MAYORAZGO,72450,Puebla,PUEBLA,1061141154,12/05/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE LA U.M.F. Nº 12,FARMACIA,4 NORTE Nº 1004,CENTRO,72760,San Pedro Cholula,PUEBLA,1051411155,19020516,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA LA PURISIMA,FARMACIA,"MAXIMINO AVILA CAMACHO 
Nº 404",CENTRO,72760,San Andres Cholula,PUEBLA,1051201157,19020517,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA NUESTRA SEÑORA DE GUADALUPE,FARMACIA,"AV. FLORENCIO ESPINOZA 
OTE. Nº 103",CENTRO,74000,San Martín Texmelucan,PUEBLA,1051331160,06/10/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN MARTIN,FARMACIA,AV. MORELOS Nº 319,CENTRO,73700,Zaragoza,PUEBLA,1032111161,07/09/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA AVENIDA,FARMACIA,"AV. MANUEL A. CAMACHO Nº 
508-A",CENTRO,74200,Atlixco,PUEBLA,1050191162,19020628,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAN MARTIN,FARMACIA,AV. REFORMA Nº 168,,73900,Tlatlauquitepec,PUEBLA,1031861163,19020520,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SANDY,FARMACIA,AVENIDA MEXICO Nº 44,CENTRO,74100,Tlahuapan,PUEBLA,1051801165,05/02/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,AV. 51 PONIENTE Nº 501,LA TEJA,72540,Puebla,PUEBLA,1061161166,07/10/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL PUEBLO,FARMACIA,AV. RUBEN JARAMILLO Nº 3,BENITO JUAREZ,74583,Chietla,PUEBLA,1070521168,12/03/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DE LA CRUZ,FARMACIA,"FLORENCIO ESPINOSA 
PONIENTE Nº 107",CENTRO,74000,San Martín Texmelucan,PUEBLA,1051331169,19020731,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA Y CAFETERIA DEL SANAT.GPE.,S.A.",FARMACIA,13 ORIENTE Nº 1617,AZCARATE,72000,Puebla,PUEBLA,1061141171,19020820,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MI BODEGA AURRERA HUEJOTZINGO,FARMACIA,MORELOS Nº 504,CUARTO BARRIO,74160,Huejotzingo,PUEBLA,1050761171,06/08/1910,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARM. UNIVERSITARIA ALEXANDER FLEMING,FARMACIA,"PROLONGACION REFORMA 
Nº 5706-A",LA LIBERTAD,72180,Puebla,PUEBLA,1061141172,07/12/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA BET-EL,FARMACIA,7 ORIENTE Nº 7,SAN MIGUEL,74730,Chiautla de Tapia,PUEBLA,1070481173,08/06/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA LUMIG,FARMACIA,JOSE MA. MORELOS Nº 106-A,CENTRO,74000,San Martín Texmelucan,PUEBLA,1051331174,08/01/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ORG.DE SUPER Y FARM.SAN ANGEL DE DESC.,FARMACIA,"1º DE MAYO ESQ. MIGUEL 
NEGRETE S/N",CENTRO,73200,Juan Galindo,PUEBLA,1010931175,19020718,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMA PRONTO DE HUAUCHINANGO,FARMACIA,"MANUEL AVILA CAMACHO Nº 
16",CENTRO,73160,Huauchinango,PUEBLA,1010721176,07/08/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ORG.DE SUPER Y FARM. SAN ANGEL DE DESC.,FARMACIA,GUERRERO Nº 4,CENTRO,73160,Huauchinango,PUEBLA,1010721177,19020718,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA Y DROGUERIA,AVENIDA LAS TORRES Nº 5,INFONAVIT AMALUCAN,72310,Puebla,PUEBLA,1061141179,19020913,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA Y DROGUERIA,4 PONIENTE Nº 107,CENTRO,72000,Puebla,PUEBLA,1061141180,19020913,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA Y DROGUERIA,5 NORTE Nº 1404-D,CENTRO,72000,Puebla,PUEBLA,1061141181,19020913,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA GENESIS,FARMACIA,2 SUR Nº 129,CENTRO,75482,Tecamachalco,PUEBLA,1091541183,19020426,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE APOLLO, S.A. DE C.V.",FARMACIA,REFORMA NORTE Nº 400,CENTRO,75700,Tehuacan,PUEBLA,1101561184,08/01/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SANTA CLEMEN,FARMACIA,"AV. 16 DE SEPTIEMBRE  SUR 
Nº 10",CENTRO,73680,Zacapoaxtla,PUEBLA,1032071186,19020618,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"DE UNIDAD MEDICA DE TEHUACAN,S.A.DE C.V.",FARMACIA,"HEROES DE LA 
INDEPENDENCIA Nº 533",HIDALGO,75790,Tehuacan,PUEBLA,1101561187,19020520,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL CARMEN,FARMACIA,"FRANCISCO I. MADERO Nº 
202-1",CENTRO,75200,Tepeaca,PUEBLA,1091641189,19020730,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA DEL HOSPITAL NTRA.SRA.DE GPE.,FARMACIA,JUAREZ Nº 301,CENTRO,73800,Teziutlan,PUEBLA,1031741190,10/03/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA III ISSSTEP,FARMACIA,24 NORTE Nº 802,LOS REMEDIOS,72370,Puebla,PUEBLA,1061141191,19020822,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,AV. 11 SUR Nº 710,CENTRO HISTORICO,72000,Puebla,PUEBLA,1061141192,19020816,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS SANCHEZ,FARMACIA,"AV. LIBERTAD SUR Nº 305 
LOCAL-A",CENTRO,74000,San Martín Texmelucan,PUEBLA,1051331193,19020920,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,CALZADA ZAVALETA Nº 4110,ZAVALETA STA. CRUZ,72170,Puebla,PUEBLA,1061141194,09/01/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA EL PASTILLERO,FARMACIA,CALLE DE LA LIBERTAD Nº 3-A,BARIO DE SAN JUAN P,,Acatlán,PUEBLA,1080031195,19020131,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA LA NUEVA IMAGEN,FARMACIA,"BLVD. CUAUHTEMOC NORTE 
Nº 203",CENTRO,75200,Tepeaca,PUEBLA,1091641196,19020926,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA,FARMACIA,"BOULEVARD VALSEQUILLO Nº 
6335",UNIVERSIDAD,72590,Puebla,PUEBLA,1061141198,19020919,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SALAZAR,FARMACIA,6 PONIENTE # 21-A,CENTRO,75560,Esperanza,PUEBLA,1040641199,19931018,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMAPRONTO,FARMACIA,REFORMA Nº 13-BIS,CENTRO,74400,Izucar de Matamoros,PUEBLA,1070871200,08/10/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA KRYSTAL,FARMACIA,"ANDADOR 102 PONIENTE Nº 
704",INF. VILLA FRONTERA,72200,Puebla,PUEBLA,1061141201,11/12/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE APOLLO, S.A. DE C.V.",FARMACIA,"INDEPENDENCIA PONIENTE 
Nº 601",CENTRO,75700,Tehuacan,PUEBLA,1101561205,03/09/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA JASMER, S.A. DE C.V.",FARMACIA,"AV. REFORMA Nº 303 LOCAL 
1 DERECHO",,74325,San Gregorio Atzompa,PUEBLA,1051261207,19021021,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PETROLEOS MEXICANOS S D C,FARMACIA,JUAN GALINDO # 10,CENTRO,73160,Huauchinango,PUEBLA,1010721208,12/06/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"PROLONGACION REFORMA 
Nº 4508",AQUILES SERDAN,72140,Puebla,PUEBLA,1061141209,12/03/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"PROL. 11 SUR Nº 8312 LOCAL 
2-D Y E-E",EX-HDA. MAYORAZGO,72450,Puebla,PUEBLA,1061141210,10/03/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
INTEGRADA A LA CLINICA DE ESPEC. DEL SUR,FARMACIA,2 SUR # 315-1,CENTRO,74200,Atlixco,PUEBLA,1050191212,12/09/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ROLCAR SERVIPARTES FARMACIA REFAC.SUPER,FARMACIA,24 NORTE Nº 233,LOS REMEDIOS,72370,Puebla,PUEBLA,1061141213,12/09/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"CAMINO REAL A CHOLULA Nº 
4411 LOCAL A-B",EX-HDA. CONCEPCION B,72760,San Andres Cholula,PUEBLA,1051201214,06/12/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA ERCCO,FARMACIA,1 ORIENTE Nº 309,CENTRO,75700,Tehuacan,PUEBLA,1101561215,06/12/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMAPRONTO,FARMACIA,"BLVD. NORTE Nº 2606 L-26 
CENTRO COM.PLAZA NTE",LAS HADAS MUNDIAL 86,72270,Puebla,PUEBLA,1061141219,19021219,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARM.UNIV.ALEXANDER FLEMING SUC.SAN JOSE,FARMACIA,2 NORTE Nº 1404-A,CENTRO,72000,Puebla,PUEBLA,1061141220,19030113,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA ANGELOPOLITANA,FARMACIA,PRIV. 9-C SUR Nº 4113,GABRIEL PASTOR,72420,Puebla,PUEBLA,1061141221,19021024,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA LUGBE HOSPITALARIA,FARMACIA,"PROL. 9 SUR Nº 11349 LOCAL-
D",SAN BARTOLO COATEPEC,72000,Puebla,PUEBLA,1061141223,19030124,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,3 ORIENTE Nº 348-D,CENTRO,75700,Tehuacan,PUEBLA,1101561224,01/09/1903,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA TIENDAS CHEDRAUI, S.A. DE C.V.",FARMACIA,"PROLONGACION DE MINA Nº 
754",BARRIO DE FRANCIA,73890,Teziutlan,PUEBLA,1031741225,19021129,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA LOS ANGELES,FARMACIA,2 SUR Nº 721,MORELOS,75770,Tehuacan,PUEBLA,1101561226,12/06/1902,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DROGUERIA Y PERFUMERIA VICTORIA,DROGUERIA,LERDO Nº 711,CENTRO,73800,Teziutlán,PUEBLA,1031741228,19030225,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"PASTEUR DE HUAUCHINANGO, S.A.",FARMACIA,PORTAL ZARAGOZA # 2,CENTRO,73160,Huauchinango,PUEBLA,1010721229,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
