ESTABLECIMIENTO,GIRO,CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS 
(ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
Farmacia de la Salud,Farmacia,Portal Morelos # 33,Centro,58760,Purépero,Michoacán,16 070 09 0017,28/11/2014,"Ps., V., T., H."
Santa Anita Sucursal,Farmacia,Francisco I. Madero No.163,centro,58760,Purépero,Michoacán,16 079 09 0019,05/05/2016,"Ps.,V.,T.,S."
"Grupo Farmacia Zamora, S.A. De C.V.",Farmacia,Alvaro Obregon No. 159,Centro,58670,Purépero,Michoacán,16 070 09 0020,16/06/2017,"Ps.,V.,T.,S.,H."
F. San Diego,Farmacia,Morelos No. 104,Centro,58762,Purépero,Michoacán,16 070 09 0022,31/04/2019,
Farma Ahorro,Farmacia,Alvaro Obregon No. 33,Centro,58670,Purépero,Michoacán,16 070 09 0021,31/01/2019,"Ps.,V.,T.,S.,A.,H."
Del Sagrado Corazón,Farmacia,Jose Dolores Acuña # 46,Centro,59140,Cojumatlán,Michoacán,16 074 09 0001,23/07/2002,"Ps., V., T., S., A., H."
Del Centro,Farmacia,Morelos # 1,Centro,59140,Cojumatlán,Michoacán,16 074 09 0002,06/10/2003,"Ps., V., T., S., A., H."
Sr. Del Perdón,Farmacia,Melchor Ocampo # 137,Centro,59140,Cojumatlán,Michoacán,16 074 09 0003,27/06/2005,"Ps., V., T., S., A., H."
Farmacia Central Médica De Sahuayo,Farmacia,Carret. Nacional Sur S/N Int. B,Noria de Montes,59000,Sahuayo,Michoacán,16 076 09 0001,12/06/2000,"Ps., V., T., S., A., H."
Gigante,Farmacia,Boulevard Lazaro Cardenas S/N,Noria de Montes,59000,Sahuayo,Michoacán,16 076 09 0004,23/06/2000,"Ps., V., T., S., A., H."
Paris,Farmacia,Madero y Guerrero,Centro,59000,Sahuayo,Michoacán,16 076 09 0005,06/10/2000,"Ps., V., T., S., A."
La Nueva Farmacia,Farmacia,Morelos # 72,Centro,59000,Sahuayo,Michoacán,16 076 09 0006,06/10/2000,"Ps., V., T., S., A.."
Paulina,Farmacia,Matamoros # 110,Centro,59000,Sahuayo,Michoacán,16 076 09 0007,06/10/2000,"Ps., V., T., S., A."
Del Prado,Farmacia,Madero y Tepeyac # 5,Centro,59000,Sahuayo,Michoacán,16 076 09 0008,06/10/2000,"Ps., V., T., S., A."
Económica,Farmacia,Madero # 44,Centro,59000,Sahuayo,Michoacán,16 076 09 0009,06/10/2000,"Ps., V., T., S., A."
Perez,Farmacia,Madero # 45,Centro,59000,Sahuayo,Michoacán,16 076 09 0010,06/10/2000,"Ps., V., T., S., A."
Perez II,Farmacia,Juárez # 56,Centro,59000,Sahuayo,Michoacán,16 076 09 0011,06/10/2000,"Ps., V., T., S., A."
Santa Maria De Sahuayo,Farmacia,Boulevard Lázaro Cárdenas # 229 - 4,Centro,59000,Sahuayo,Michoacán,16 076 09 0012,24/10/2000,"Ps., V., T., S., A."
La Salud,Botica,Independencia # 2,Centro,59000,Sahuayo,Michoacán,16 076 10 0013,24/10/2000,"Ps., V., .T, S., A."
Rey,Farmacia,Constitución # 74,Centro,59000,Sahuayo,Michoacán,16 076 09 0014,24/10/2000,"Ps., V., T., S., A."
La Victoria,Farmacia,Constitución # 93,Centro,59000,Sahuayo,Michoacán,16 076 09 0015,24/10/2000,"Ps., V., T., S., A."
Del Divino Rostro,Farmacia,Matamoros # 78,Centro,59000,Sahuayo,Michoacán,16 076 09 0016,10/11/2000,"Ps., V., T., S., A."
San Carlos,Farmacia,Miguel Amezcua Leñero # 113,Centro,59000,Sahuayo,Michoacán,16 076 09 0017,07/11/2000,"Ps., V., T., S., A."
Guadalajara,Farmacia,Constitución # 165,Centro,59000,Sahuayo,Michoacán,16 076 09 0019,30/11/2000,"Ps., V., T., S., A."
Centro Médico De Sahuayo,Farmacia,Matamoros #216,Centro,59000,Sahuayo,Michoacán,16 076 09 0020,14/12/2000,"Ps., V., T., S., A."
La Guadalupana,Farmacia,Constitución # 42 - B,Centro,59000,Sahuayo,Michoacán,16 076 09 0021,26/10/2010,"Ps., V., T., S., A., H."
La Divina Providencia,Farmacia,Bolívar # 22,Centro,59000,Sahuayo,Michoacán,16 076 09 0022,13/03/2001,"Ps., V., T., S."
La Purísima,Farmacia,Tepeyac # 24,Centro,59000,Sahuayo,Michoacán,16 076 09 0023,13/03/2001,"Ps., V., T., S., A."
Denisse,Farmacia,Constitución # 93,Centro,59000,Sahuayo,Michoacán,16 076 09 0024,13/03/2001,"Ps., V., T., S."
Roma,Farmacia,Constitución # 120,Centro,59000,Sahuayo,Michoacán,16 076 09 0025,28/01/2002,"Ps., V., T., S., A."
Del Sagrado Corazon,Farmacia,Hidalgo y Monterde # 48,Centro,59000,Sahuayo,Michoacán,16 076 09 0026,04/04/2002,"Ps., V., T., S., A., H."
Del Nucleo De Especialidades,Farmacia,"Federico Higareda # 406, Int. 18",Noria de Montes,59000,Sahuayo,Michoacán,16 076 09 0027,03/04/2002,"Ps., V., T., S., A., H."
Hospital,Farmacia,Frente Al Hospital Regional S/N,Sin Colonia,59090,Sahuayo,Michoacán,16 076 09 0028,03/04/2002,"Ps., V., T., S., A., H."
Instituto Mexicano Del Seguro Social,Farmacia,General Heribero Jara S/N,Lázaro Cárdenas,59000,Sahuayo,Michoacán,16 076 09 0029,19/07/2002,"Ps., V., T., S., A., H."
Clinica Hospital Sahuayo,Farmacia,"Boulevard Lázaro Cárdenas Esq. Salustio 
Amezcua S/N",Noria de Montes,59000,Sahuayo,Michoacán,16 076 09 0030,26/09/2002,"Ps., V., T., S., A., H."
Farmaksa,Farmacia,Constitución # 112,Centro,59000,Sahuayo,Michoacán,16 076 09 0031,02/10/2002,"Ps., V., T., S., A., H."
Sahuayo,Farmacia,Constitución # 91,Centro,59000,Sahuayo,Michoacán,16 076 09 0032,24/01/2003,"Ps., V., T., S., A., H."
La Guadalupana,Farmacia,Constitución # 115,Centro,59000,Sahuayo,Michoacán,16 076 09 0033,26/10/2010,"Ps., V., T., S., A., H."
B. Hosp. General Regional De Sahuayo,Botica,Carretera Jiquilpan - Sahuayo Km. 5,La Yerbabuena,59000,Sahuayo,Michoacán,16 076 10 0034,02/09/2003,"E., Ps."
Perpetuo Socorro,Farmacia,Galeana # 250,Centro,59000,Sahuayo,Michoacán,16 076 09 0035,20/01/2004,"Ps., V., T., S., A., H."
San José,Farmacia,Bravo # 1,Centro,59000,Sahuayo,Michoacán,16 076 09 0036,21/01/2004,"Ps., V., T., S., A., H."
Del Divino Niño,Farmacia,J. Trinidad Montes # 439,Noria de Montes,59000,Sahuayo,Michoacán,16 076 09 0037,02/04/2004,"Ps., V., T., S., A., H."
Krystal,Farmacia,Constitución # 202,Centro,59000,Sahuayo,Michoacán,16 076 09 0038,01/06/2004,"Ps., V., T., S., A., H."
La Casa Blanca,Farmacia,Luis Sahagún # 63,Centro,59000,Sahuayo,Michoacán,16 076 09 0039,21/09/2006,"Ps., V., T., S., .A, H."
Especialidades Santa Maria,Farmacia,Amadeo Gálvez # 200-9,Centro,59000,Sahuayo,Michoacán,16 076 09 0040,17/02/2005,"Ps., V., T., S., A., H."
Bodega Aurrerá Sahuayo,Farmacia,Boulevard Lázaro Cárdenas Sur # 1200,Centro,59000,Sahuayo,Michoacán,16 076 09 0041,03/06/2005,"Ps., V., T., S., A., H."
"Tiendas Soriana, S.A. De C.V.",Farmacia,Blvd. Lázaro Cárdenas Norte # 745,Centro,59000,Sahuayo,Michoacán,16 076 09 0042,21/07/2005,"Ps., V., T., S., A."
La Divina Providencia,Farmacia,Constitución # 172,Centro,59000,Sahuayo,Michoacán,16 076 09 0044,04/05/2007,"Ps., V., T., S., A., H."
Farmacia Guadalupana,Farmacia,Boulevard Lázaro Cárdenas # 67,Centro,59000,Sahuayo,Michoacán,16 076 09 0045,14/02/2008,"Ps., V., T., S., A., H."
Farmacia Karen,Farmacia,Emiliano Zapata # 267 - A,Centro,59000,Sahuayo,Michoacán,16 076 09 0046,14/02/2008,"Ps., V., T., S., A., H.,"
Roma,Farmacia,Constitución # 212,Centro,59000,Sahuayo,Michoacán,16 076 09 0047,16/12/2008,"Ps., V., T., S., A., H."
"H. Parroquia Del Sagrado Corazón De 
Sahuayo, A. C.",Farmacia,Hidalgo # 270,Centro,59000,Sahuayo,Michoacán,16 076 09 0048,12/05/2009,"Ps., V., T., S., H."
Farmacia Descuento,Farmacia,Guerrero # 50,Centro,59000,Sahuayo,Michoacán,16 076 09 0049,25/05/2009,"Ps., V., T., S., H."
Botica La Salud Drogueria,Farmacia,Independencia # 2,Centro,59000,Sahuayo,Michoacán,16 076 11 0050,08/10/2009,"E., Ps."
"Dermatologica ""Dermo Bella""",Farmacia,Esquina J. Marti y F. Higareda,Noria de Montes,59000,Sahuayo,Michoacán,16 076 09 0051,15/12/2009,Ps.
Farmacias Farmafree,Farmacia,Dr. Héctor Orozco No. 118-A,Centro,59000,Sahuayo,Michoacán,16 076 09 0052,10/04/2012,"Ps., V., S., H."
Farmacia Denisse,Farmacia,Amadeo Galvez No. 200-9,Centro,59000,Sahuayo,Michoacán,16 076 09 0053,20/07/2012,Ps.
"NADRO S.A. de C.V. Hospital General de 
Sahuayo",Botica,Carr. Nacional Jiquilpan Sahuayo Km. 5,La Yerbabuena,59000,Sahuayo,Michoacán,16 076 10 0055,29/04/2013,"E., Ps."
"Hospital Santa María de Sahuayo, S.A de 
C.V.",Farmacia,Boulevard Lázaro Cárdenas No. 229 Norte,Centro,59000,Sahuayo,Michoacán,16 076 09 0056,13/05/2013,"E., Ps."
"S. San Francisco de Sahuayo, S.A. de 
C.V.",Farmacia,Carretera Nacional Sur s/n,Noria de Montes,59000,Sahuayo,Michoacán,16 076 09 0076,13/05/2013,"Ps., V., H., T., S., H."
Farmacia Guadalajara S.A. de C.V.,Farmacia,Calzada Revolución No. 4085,Arboledas del Rio,59015,Sahuayo,Michoacán,16 076 09 0058,11/12/2013,"Ps., S.,T.,H."
"Dist. F. de Sahuayo, S.A. de C.V. 
(Farmacias del Ahorro)",Farmacia,Rayon No. 272,Centro,59000,Sahuayo,Michoacán,16 076 09 0059,14/01/2014,"E., Ps., V., S."
"Farmacia disur del Hospital General de 
Sahuayo",Farmacia,Carretera Jiquilpan Sahuayo Km 5,La Yerbabuena,59000,Sahuayo,Michoacán,16 076 09 0060,29/10/2014,"E., Ps., V., T., S., A., H."
Farmacia Denisse,Farmacia,Constitución No. 93,Centro,59000,Sahuayo,Michoacán,16 076 09 0061,25/11/2014,"Ps., V., T., S., H."
Farmacias del Ahorro,Farmacia,Rayon No. 272,Centro Poniente G,59000,Sahuayo,Michoacán,16 076 09 0062,19/12/2014,"Ps., V., T., S., H."
Farmacia Sahuayense S.A. DE C.V.,Farmacia,Miguel Amezcua Leñeero No. 113,Centro,59000,Sahuayo,Michoacán,16 076 09 0064,10/09/2015,"Ps., T., S., H."
"Guadalajara, S.A. de C.V.",Farmacia,Bulevar Lázaro Cárdenas Sur No. 571,Noria de Montes,59000,Sahuayo,Michoacán,16 076 09 0065,30/11/2016,"Ps.,V.,T.,S.,A."
"Farmacias el Fenix del Centro del Hospital 
General Sahuayo",Farmacia,Carretera Jiquilpan Sahuayo KM 5 s/n,La Yerba Buena,59000,Sahuayo,Michoacán,16 076 09 0067,23/02/2018,"E.,Ps.,V.,T.,S.,A.,H."
F. MEDALFA Hospital Genenral Sahuayo,Farmacia,Carretera Jiquilpan Sahuayo KM s/n,La Yerba Buena,59000,Sahuayo,Michoacán,16 076 09 0068,16/03/2018,"E.,Ps.,V.,T.,S.,A.,H."
De Dios,Farmacia,Hidalgo # 20,Centro,59000,Tangamandapio,Michoacán,16 084 09 0001,24/10/2000,"Ps., V., T., S., A."
Del Refugio,Farmacia,Ocampo # 3,Centro,59000,Tangamandapio,Michoacán,16 084 09 0004,29/01/2002,"Ps.., V., T., S., A."
"Farmacia Del Niño Doctor, S. De R.L. De 
C.V.",Farmacia,Ocampo # 3,Centro,59000,Tangamandapio,Michoacán,16 084 09 0005,11/10/2004,"Ps., V., T., S., A., H."
"Farmacia Caja Pop. Epifanio Padilla De 
T.S.C. De R.L.",Farmacia,Abasolo # 28,Centro,59000,Tangamandapio,Michoacán,16 084 09 0006,18/07/2008,"Ps., V., T., S., A."
"F. Coop. De Tangamandapio S.L. de R.L. 
de C.V.",Farmacia,Abasolo # 28,Centro,59000,Tangamandapio,Michoacán,16 084 09 0007,21/02/2014,Ps.
Farmacia tu nuevo y mejor ahorro,Farmacia,Madero No. 169,Centro,59920,Tangamandapio,Michoacán,16 084 09 0010,17/08/2017,"Ps.,V.,T.,S.,H."
Farmacia y Consultorio La Cubanita,Farmacia,I. Madero No. 130 A,Barrio de Abajo,59920,Tangamandapio,Michoacán,16 084 09 0011,22/05/2019,"Ps.,V.,T.,S.,H."
Super Farmacia Ma. Auxiliadora,Farmacia,Dr. Octaviano L. Navarro # 125,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0001,20/07/2000,"Ps., T., S."
Colonial,Farmacia,Dr. Miguel Silva # 70,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0002,10/08/2000,"Ps., V., T., S., A."
San Martin,Farmacia,Dr. Octavio L. Navarro # 88,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0003,04/09/2000,"Ps., V., T., S., A."
Santo Domingo,Farmacia,Francisco I. Madero Sur # 275,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0004,16/12/2002,"Ps., V., T."
Farmacia Del Señor De La Salud,Farmacia,Doctor Miguel Silva # 135,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0005,30/06/2008,"Ps., V., T., S., A."
"F. Asoc. Mutualista Tangancicuaro, A.C.",Farmacia,Portal Hidalgo # 25,Centro,597450,Tangancícuaro,Michoacán,16 085 09 0006,23/04/2004,"Ps., V., T., S., A., H."
La Original,Farmacia,Portal Allende # 5,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0007,01/06/2004,"Ps., V., T., S., A., H."
"Farmacias Benavides Suc. 
Tanganciacuaro",Farmacia,Portal Hidalgo # 3,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0008,08/11/2018,"Ps., V., T., S., A., H."
"Farmacia Guadalajara, S.A. De C.V.",Farmacia,Juan Aldama # 33,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0009,12/07/2007,"V., T."
Farmacia Farmapronto,Farmacia,Dr. Miguel Silva # 225,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0010,23/01/2008,"Ps., V., T., S., A., H."
Farmax El Angel,Farmacia,Dr. Silva Norte # 183 -A,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0011,02/07/2008,"Ps., V., S., H."
Tangancícuaro,Farmacia,Dr. Miguel Silva # 183,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0012,15/06/2011,"Ps., V., T., S., H."
F. Mi Bodega Aurrerá Tangancícuaro,Farmacia,Av. General Carlos Salazar Ote. No. 892,Sector 4,59750,Tangancícuaro,Michoacán,16 085 09 0014,20/02/2012,"Ps., V., T., A., H."
Farmacias del Ahorro,Farmacia,Av. Miguel Hidalgo esq. Aldama,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0015,21/04/2015,"Ps., V., S., H."
Grupo Farmacia Zamora S.A. de C.V.,Farmacia,Dr. Miguel Silva # 169,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0016,09/07/2015,"Ps., V., T., S.,H."
Farmacias del Ahorro,Farmacia,Portal Hidalgo s/n,Centro,59750,Tangancícuaro,Michoacán,16 085 09 0017,16/03/2018,"Ps.,V.,T.,S.,A.,H."
San Jose,Farmacia,Emiliano Zapata # 7 - A,Centro,59980,Tinguindín,Michoacán,16 091 09 0001,06/10/2000,"Ps., V., T., S., A."
Farmacia del Divino Niño,Farmacia,Juarez Norte # 2 - A,Centro,59980,Tinguindín,Michoacán,16 091 09 0002,05/05/2010,"Ps., V., T., S.,H."
Farmacia La Salud,Farmacia,Portal Aldama s/n,Centro,59980,Tinguindín,Michoacán,16 091 09 0003,21/12/2015,"Ps.,V.,T.,S."
De Descuento,Farmacia,Modesto Barreto # 87,Centro,58600,Tocumbo,Michoacán,16 095 09 0001,03/05/2001,"Ps., V., T., S., A."
Botica Unidad Medica Familiar # 28,Botica,Carr. Los Reyes - Jacona # 33,Obrera,59961,Tocumbo,Michoacán,16 095 10 0003,05/09/2005,"Ps., V., T., S."
Santa Clara,Farmacia,Av. Modesto Barreto # 103 -B,Centro,59961,Tocumbo,Michoacán,16 095 09 0004,03/04/2007,"Ps., T."
F. La Salud,Farmacia,Francisco I. Madero Sur No. 2,Centro,59960,Tocumbo,Michoacán,16 095 09 0005,28/08/2018,"Ps.,V.,T.,S.,A."
Sigma,Farmacia,Morelos # 17,Centro,59160,"Venustiano 
Carranza",Michoacán,16 103 09 0001,03/04/2006,"Ps., V., T., S., A., H."
Plaza,Farmacia,Melchor Ocampo # 12,Centro,59160,"Venustiano 
Carranza",Michoacán,16 103 09 0002,18/07/2000,"Ps., V., T., S., A."
Economica,Farmacia,Hidalgo # 8,Centro,59160,"Venustiano 
Carranza",Michoacán,16 103 09 0003,18/07/2000,"Ps., V., T., S., A."
La Guadalupana,Farmacia,Reforma # 29 - B,Centro,59160,"Venustiano 
Carranza",Michoacán,16 103 09 0004,19/07/2002,"Ps., V., T., S., A., H."
Farmacia Del Sagrado Corazon De Jesus,Farmacia,Plaza Juarez # 15,Centro,59160,"Venustiano 
Carranza",Michoacán,16 103 09 0006,04/07/2006,"Ps., V., T., S., A., H."
Farmacia La Guadalupana,Farmacia,Reforma # 29 - B,Centro,59160,"Venustiano 
Carranza",Michoacán,16 103 09 0007,17/09/2007,"Ps., V., T., S., A., H."
Farmacias Farmafree,Farmacia,Nacional # 42-A,Centro,59160,"Venustiano 
Carranza",Michoacán,16 103 09 0008,10/04/2012,"Ps., V., S., H."
Super Farmacias Farma Free,Farmacia,Plaza Juárez No. 35,Centro,59160,"Venustiano 
Carranza",Michoacán,16 103 09 0009,11/12/2015,"Ps.,V.,T.,S."
IMSS Unidad de Meidicina Familiar No. 68,Farmacia,Cipres No. 61,Centro,59550,Villamar,Michoacán,16 104 09 0001,28/01/2002,"Ps., V., T., S., A."
Hosp. Rural Oportunidades 30 Camas,Botica,"Carret. Sahuayo - Zamora # 333, Emiliano 
Zapata",Bella Vista,59551,Villamar,Michoacán,16 104 10 0002,18/06/2013,"E., Ps., V., T., S., H."
Del Rosario,Farmacia,Juárez # 227,Centro,59200,Vista Hermosa,Michoacán,16 105 09 0001,18/08/2005,"Ps., V., T., S., H."
San Jose,Farmacia,Madero Ote # 17 - A,Centro,59200,Vista Hermosa,Michoacán,16 105 09 0002,19/10/2005,"Ps., V., T."
"I.M.S.S. Unidad de Meidicina Familiar No. 
68",Farmacia,Cipres No. 61,Bella Vista,59200,Vista Hermosa,Michoacán,16 105 09 0004,24/10/2016,"Ps.,V.,T.,S.,A.,H."
Teo De Zamora,Farmacia,"Virrey De Mendoza # 195, 1° Piso",Jardinadas,59690,Zamora,Michoacán,16 108 09 0002,23/06/2000,Ps.
Santa Anita,Farmacia,Virrey De Almanza # 4,Zamora,59690,Zamora,Michoacán,16 108 09 0004,18/07/2000,"Ps., V., T., S., A."
Guadalajara,Farmacia,Av. 5 De Mayo # 357,Centro,59600,Zamora,Michoacán,16 108 09 0005,18/07/2000,"Ps., V., T., S., A."
Guadalajara,Farmacia,Amado Nervo # 73 Oriente,Centro,59600,Zamora,Michoacán,16 108 09 0006,18/07/2000,"Ps., V., T., S., A."
Guadalajara,Farmacia,Plaza Ana Local # 4,Centro,59600,Zamora,Michoacán,16 108 09 0007,19/07/200,"Ps., V., T., S., A."
San José,Farmacia,Niños Héroes Sur # 124 Interior A/B,Centro,59600,Zamora,Michoacán,16 108 09 0008,19/07/2000,"Ps., V., T., S., A."
Del Salvador,Farmacia,Colón y Serdán S/N,Centro,59600,Zamora,Michoacán,16 108 09 0010,19/07/2000,"Ps., V., T., S., A."
Del Refugio,Farmacia,Av. Madero Sur # 210,Centro,59600,Zamora,Michoacán,16 108 09 0012,19/07/2000,"Ps., V., T., S., A."
Guadalupana,Farmacia,Av. Juárez # 90 Oriente,Centro,59600,Zamora,Michoacán,16 108 09 0014,19/07/2000,"Ps., V., T., S., A."
Santa Monica,Farmacia,Corregidora # 100 Oriente,Centro,59600,Zamora,Michoacán,16 108 09 0016,22/05/2008,"Ps., V., T., S., A."
Farmacia Colon,Farmacia,Colón # 288 - 1,Centro,59600,Zamora,Michoacán,16 108 09 0018,18/08/2008,"Ps., V., T., S., A."
Farmacias La Original,Farmacia,5 De Mayo # 119,Centro,59600,Zamora,Michoacán,16 108 09 0019,11/08/2017,"Ps., V., T., S., A, H."
Clinica Hospital San José,Farmacia,Colón Oriente # 320,Centro,59600,Zamora,Michoacán,16 108 09 0021,27/06/2003,"E., Ps., V., T., S., A., H."
Serdan De Zamora,Farmacia,Aquiles Serdán # 281 Sur,Centro,59600,Zamora,Michoacán,16 108 09 0023,19/07/2000,"Ps., V., T., S., A."
Hospital Municipal De Zamora,Farmacia,Aquiles Serdán # 256 Sur,Centro,59600,Zamora,Michoacán,16 108 09 0024,19/07/2000,"Ps., V., T., S., A."
Grupo Farmacia Zamora,Farmacia,Circunvalación # 184 Oriente,Centro,59600,Zamora,Michoacán,16 108 09 0025,20/07/2000,"Ps., V., T., S., A."
Farmacia Morelia,Farmacia,Morelos Sur # 403,Jardines de Catedral,59670,Zamora,Michoacán,16 108 09 0026,14/06/2016,"Ps., V., T., S., A., H."
Alfa,Farmacia,Dr. Alonso Martinez # 687 Sur,Jardinadas,59690,Zamora,Michoacán,16 108 09 0029,20/07/2000,"Ps., V., T., S., A."
Santa Anita,Farmacia,20 De Noviembre # 68,20 de Noviembre,59660,Zamora,Michoacán,16 108 09 0030,10/08/2000,"Ps., V., T., S., A."
Del Hospital Santa Maria,Farmacia,Av. Madero Sur # 749,La Luneta,59680,Zamora,Michoacán,16 108 09 0032,01/09/2000,"E., Ps., V., T., S., A., H."
La Guadalupana,Farmacia,Conocido,La Rinconada,59610,Zamora,Michoacán,16 108 09 0033,04/10/2000,"Ps., V., T., S., A."
Botica del Hospital General de Zona No. 4,Botica,Av. Madero y Paseo De Los Almendros S/N,La Luneta,59600,Zamora,Michoacán,16 108 09 0034,04/10/2000,"E., Ps., V., T., S., A."
Santa Fe,Farmacia,Uruapan # 516 - A,El Duero,59800,Zamora,Michoacán,16 108 09 0037,06/10/2000,"Ps., V., T., S., A."
20 De Noviembre,Farmacia,20 De Noviembre # 218 - B,20  de Noviembre,56600,Zamora,Michoacán,16 108 09 0038,06/10/2000,"Ps., V., T., S, A."
Issste,Botica,Av. Educación # 662,Fovissste,59588,Zamora,Michoacán,16 108 09 0039,06/10/2000,"Ps., V., T., S., A."
Comercial Mexicana,Farmacia,Madero Sur # 900,Los Laureles,59674,Zamora,Michoacán,16 108 09 0040,06/10/2000,"Ps., V., T., S., A."
Santa Cruz,Farmacia,Av. Martinez de Navarrete # 625,Las Fuentes,59690,Zamora,Michoacán,16 108 09 0041,06/10/2000,"Ps., V., T., S., A."
El Duero,Farmacia,Cincunvalacion 3 419 Esq. Primero De Mayo,El Duero,59680,Zamora,Michoacán,16 108 09 0042,13/01/2003,"Ps., V., T., S., A., H."
Hospital General De Zamora,Botica,Prolongación 5 De Mayo # 97,Nva. Jericó,59680,Zamora,Michoacán,16 108 10 0043,29/06/2007,"E., Ps., V., T., S., A."
Aguilar,Farmacia,Av. Juarez Poniente # 1814,Juárez,59620,Zamora,Michoacán,16 108 09 0044,24/10/2000,"Ps., V., T., S., A."
Grupo Farmacia Zamora,Farmacia,Juárez # 543 Poniente,El Valle,59620,Zamora,Michoacán,16 108 09 0046,11/03/2014,"E., Ps., V., T., S., A., H."
La Original,Farmacia,Lerdo de Tejada No. 96,Centro,59600,Zamora,Michoacán,16 108 09 0047,12/03/2013,"Ps., V., T., S., A., H."
Grupo Farmacia Zamora,Farmacia,Aquiles Serdán # 285- A Sur,Centro,59600,Zamora,Michoacán,16 108 09 0049,03/05/2001,"Ps., V., T., S., A."
Grupo Farmacia Zamora,Farmacia,Alonso Martinez # 630 Local 17,Jardinadas,59650,Zamora,Michoacán,16 108 09 0050,03/05/2001,"Ps., V., T., S., A."
"Multiservicios Médicos Especializados de 
Zamora",Farmacia,Dr. Alonso Martinez # 687,Jardinadas,59650,Zamora,Michoacán,16 108 09 0051,14/06/2001,"E., Ps., V., T., S., A."
Grupo Farmacia Zamora,Farmacia,Juarez # 257 Oriente,Ejidal,59650,Zamora,Michoacán,16 108 09 0052,14/06/2001,"Ps., V., T., S., A."
Guadalupana,Farmacia,Av. Juárez Oriente # 90 Interior 102,Centro,59620,Zamora,Michoacán,16 108 09 0054,29/01/2002,"Ps., V., T., S., A."
La Paz,Farmacia,Vasco De Quiroga # 122,Centro,59600,Zamora,Michoacán,16 108 09 0055,03/04/2002,"Ps., V., T., S., A., H."
Farma Ahorro San Carlos,Farmacia,Aquiles Serdán # 93 Interior 104,Centro,59600,Zamora,Michoacán,16 108 09 0056,03/04/2002,"Ps., V., T., S., A., H."
San Martin,Farmacia,Av. Juárez # 381 Poniente,Centro,59600,Zamora,Michoacán,16 108 09 0058,22/07/2002,"Ps., V., T., S., A."
Farmacias Benavides Suc. Zamora 1,Farmacia,Vasco De Quiroga # 126,Jardines de Catedral,59670,Zamora,Michoacán,16 108 09 0066,31/01/2019,"Ps., V., T., S., A., H."
Krystal,Farmacia,Valladolid # 296,Valencia 2a. Sección,59610,Zamora,Michoacán,16 108 09 0061,19/07/2002,"Ps., V., T., S., A., H."
Super Economica,Farmacia,Juárez Oriente # 11-D,Centro,59600,Zamora,Michoacán,16 108 09 0062,03/04/2002,"Ps., V., T., S., A, H."
Farmapronto,Farmacia,Av. Juárez # 90 - 102 Oriente,Centro,59600,Zamora,Michoacán,16 108 09 0064,12/02/2003,"Ps., V., T., S., A., H."
Farmatel,Farmacia,Virrey De Mendoza # 334,La Luneta,59680,Zamora,Michoacán,16 108 09 0065,18/06/2004,"Ps., V., T., S., A., H."
Farmacias La Original,Farmacia,Ferrocarril # 62 - A,Jardines de Catedral,59630,Zamora,Michoacán,16 108 09 0066,07/09/2005,"Ps., V., T., S., A, H."
De Descuento,Farmacia,Av. Juárez Poniente # 1062,Generalisimo,59699,Zamora,Michoacán,16 108 09 0067,05/06/2003,"Ps., V., T., S., A., H."
Tiendas Comercial Mexicana,Farmacia,Madero Sur # 902,Los Laureles,59674,Zamora,Michoacán,16 108 09 0068,19/11/2003,"Ps., V., T., S., A., H."
"F. La Original, S.A. De C.V.",Farmacia,Prolongacion 5 De Mayo # 490,Nva. Jericó,59610,Zamora,Michoacán,16 108 09 0069,12/03/2013,"Ps., V., T., S., A., H."
"F. La Original, S.A. De C.V.",Farmacia,5 De Mayo Sur # 352,Centro,59600,Zamora,Michoacán,16 108 09 0070,01/03/2004,"V., T., S., A., H."
"F. La Original, S.A. De C.V.",Farmacia,Hidalgo Sur # 78,Centro,59600,Zamora,Michoacán,16 108 09 0071,01/03/2004,"V., T., S., A., H."
"F. La Original, S.A. De C.V.",Farmacia,Lerdo De Tejada # 92 - C Poniente,Centro,59600,Zamora,Michoacán,16 108 09 0072,12/03/2013,"V., T., S., A., H."
